date,driver_id,sentiment_score_7d,positive_mentions,negative_mentions,article_count
2026-03-15,max_verstappen,-0.222,0,4,18
2026-03-15,antonelli,0.727,16,0,22
2026-03-15,hamilton,0.4,9,3,15
2026-03-15,norris,-0.4,0,2,5
2026-03-15,piastri,-0.5,0,2,4
2026-03-15,russell,0.3,8,2,20
2026-03-15,sainz,0.0,0,0,1
2026-03-15,arvid_lindblad,0.333,1,0,3
2026-03-15,bearman,0.0,0,0,2
2026-03-15,alonso,-0.4,0,2,5
2026-03-15,leclerc,0.0,2,2,5
2026-03-15,ocon,-1.0,0,1,1
2026-03-15,colapinto,-1.0,0,1,1
2026-03-15,perez,-1.0,0,1,1
2026-03-15,bottas,-1.0,0,1,1
2026-03-15,hadjar,0.0,0,0,4
2026-03-15,albon,-1.0,0,1,1
2026-03-15,stroll,0.0,0,0,1
